
> warqandqlam@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.49:3000
✓ Ready in 665ms

 GET /products/products-page-pen-1 200 in 74ms (next.js: 4ms, generate-params: 18µs, application-code: 70ms)
 GET /products/products-page-pen-1 200 in 75ms (next.js: 4ms, generate-params: 20µs, application-code: 71ms)
 GET /products/products-page-pen-1 200 in 54ms (next.js: 3ms, generate-params: 17µs, application-code: 51ms)
 GET /products/products-page-pen-1 200 in 135ms (next.js: 4ms, generate-params: 19µs, application-code: 131ms)
 GET /products/products-page-pen-1 200 in 139ms (next.js: 5ms, generate-params: 48µs, application-code: 134ms)
 GET /products/products-page-pen-1 200 in 139ms (next.js: 24ms, generate-params: 25µs, application-code: 115ms)
 GET /products/products-page-pen-1 200 in 139ms (next.js: 46ms, generate-params: 18µs, application-code: 94ms)
 GET /products/products-page-pen-1 200 in 87ms (next.js: 4ms, generate-params: 20µs, application-code: 82ms)
 GET /products/products-page-pen-1 200 in 67ms (next.js: 12ms, generate-params: 5ms, application-code: 55ms)
 GET /products/products-page-pen-1 200 in 124ms (next.js: 6ms, generate-params: 19µs, application-code: 118ms)
 GET /products/products-page-pen-1 200 in 118ms (next.js: 5ms, generate-params: 18µs, application-code: 113ms)
 GET /products/products-page-pen-1 200 in 119ms (next.js: 26ms, generate-params: 21µs, application-code: 93ms)
 GET /products/products-page-pen-1 200 in 119ms (next.js: 45ms, generate-params: 18µs, application-code: 74ms)
 GET /products/products-page-pen-1 200 in 77ms (next.js: 5ms, generate-params: 20µs, application-code: 72ms)
 GET /products/products-page-pen-1 200 in 58ms (next.js: 4ms, generate-params: 24µs, application-code: 53ms)
 GET /products/products-page-pen-1 200 in 123ms (next.js: 6ms, generate-params: 45µs, application-code: 117ms)
 GET /products/products-page-pen-1 200 in 129ms (next.js: 4ms, generate-params: 20µs, application-code: 124ms)
 GET /products/products-page-pen-1 200 in 129ms (next.js: 44ms, generate-params: 22µs, application-code: 85ms)
 GET /products/products-page-pen-1 200 in 130ms (next.js: 25ms, generate-params: 19µs, application-code: 105ms)
 GET /products/products-page-pen-1 200 in 93ms (next.js: 4ms, generate-params: 25µs, application-code: 89ms)
 GET /products/products-page-pen-1 200 in 72ms (next.js: 5ms, generate-params: 17µs, application-code: 68ms)
 GET /products/products-page-pen-1 200 in 176ms (next.js: 7ms, generate-params: 22µs, application-code: 169ms)
 GET /products/products-page-pen-1 200 in 145ms (next.js: 32ms, generate-params: 23µs, application-code: 113ms)
 GET /products/products-page-pen-1 200 in 148ms (next.js: 9ms, generate-params: 27µs, application-code: 139ms)
 GET /products/products-page-pen-1 200 in 147ms (next.js: 54ms, generate-params: 21µs, application-code: 93ms)
 GET /products/products-page-pen-1 200 in 91ms (next.js: 12ms, generate-params: 6ms, application-code: 78ms)
 GET /products/products-page-pen-1 200 in 90ms (next.js: 36ms, generate-params: 19µs, application-code: 53ms)
 GET /products/products-page-pen-1 200 in 159ms (next.js: 6ms, generate-params: 18µs, application-code: 152ms)
 GET /products/products-page-pen-1 200 in 133ms (next.js: 4ms, generate-params: 42µs, application-code: 129ms)
